N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
1,삼성전자,"67,800",200,-0.29%,100,"4,047,513","5,969,783",51.44,"15,356,599",11.74,13.92,
2,LG에너지솔루션,"439,500","3,000",+0.69%,500,"1,028,430","234,000",3.05,"391,712",110.90,10.68,
3,SK하이닉스,"112,000","1,500",-1.32%,"5,000","815,363","728,002",50.11,"4,200,154",8.49,16.84,
4,삼성바이오로직스,"809,000","1,000",-0.12%,"2,500","535,275","66,165",10.58,"35,942",137.63,8.21,
5,NAVER,"316,500","4,500",-1.40%,100,"519,215","164,049",54.62,"622,895",3.15,106.72,
6,삼성전자우,"62,000",0,0.00%,100,"510,190","822,887",73.39,"1,486,111",10.73,N/A,
7,카카오,"98,000","1,900",-1.90%,100,"437,345","446,270",28.93,"2,916,274",31.29,17.10,
8,삼성SDI,"601,000","18,000",+3.09%,"5,000","413,275","68,765",43.34,"255,552",36.16,8.45,
9,현대차,"176,500","2,000",-1.12%,"5,000","377,124","213,668",26.49,"456,867",9.89,6.84,
10,LG화학,"525,000","7,000",+1.35%,"5,000","370,610","70,592",48.58,"128,128",11.20,18.47,
11,기아,"74,900","1,000",-1.32%,"5,000","303,617","405,363",34.39,"1,129,448",6.38,14.69,
12,POSCO홀딩스,"283,000","2,500",+0.89%,"5,000","246,739","87,187",52.69,"181,924",3.73,13.97,
13,KB금융,"58,200",0,0.00%,"5,000","239,989","412,352",72.67,"949,082",5.49,9.80,
14,셀트리온,"164,000","2,500",-1.50%,"1,000","226,247","137,956",19.14,"286,461",40.09,15.81,
15,카카오뱅크,"46,100",100,-0.22%,"5,000","219,048","475,159",16.03,"1,054,504",98.72,4.91,
16,신한지주,"40,250",50,-0.12%,"5,000","207,931","516,600",62.06,"876,985",5.35,8.80,
17,삼성물산,"109,500",500,+0.46%,100,"204,641","186,887",15.73,"161,072",12.63,5.40,
18,LG전자,"122,000","7,500",+6.55%,"5,000","199,650","163,648",27.60,"3,039,375",21.38,6.32,
19,현대모비스,"209,000","3,000",-1.42%,"5,000","197,658","94,573",34.17,"206,819",8.42,6.87,
20,SK이노베이션,"206,500","5,000",+2.48%,"5,000","190,941","92,466",23.45,"295,125",63.54,1.91,
21,SK,"248,000","2,000",+0.81%,200,"183,890","74,149",21.69,"77,854",8.97,10.19,
22,카카오페이,"134,000",500,+0.37%,500,"177,107","132,169",42.62,"121,367",-676.77,-2.45,
23,한국전력,"22,050",50,+0.23%,"5,000","141,553","641,964",14.72,"1,159,173",-2.66,-7.99,
24,하나금융지주,"46,350",350,-0.75%,"5,000","139,162","300,242",71.19,"678,312",3.95,10.86,
